City,Country,Latitude,Longitude,High Temperature,Humidity,Cloud Coverage,Wind Speed
Caravelas,BR,-17.73,-39.27,82.76,98,0,11.88
Swan Hill,AU,-35.34,143.56,49.37,84,0,2.93
Whitehorse,CA,60.72,-135.06,27.0,73,75,16.11
Arraial do Cabo,BR,-22.97,-42.02,89.6,74,0,13.87
Kungur,RU,57.43,56.94,31.1,85,8,2.82
Prince Rupert,CA,54.32,-130.32,44.6,87,90,2.37
San Cristobal,EC,-0.39,-78.55,64.4,93,90,6.93
Carbondale,US,38.82,-95.69,70.0,72,1,16.11
Chumikan,RU,54.72,135.31,28.76,86,88,7.4
Muli,IN,22.62,71.45,84.11,43,32,13.56
Saint-Georges,CA,46.12,-70.67,35.01,95,88,5.99
Savadisla,RO,46.68,23.45,68.0,73,0,10.29
Celestun,MX,20.87,-90.4,83.21,84,0,7.63
Borovsk,RU,55.21,36.48,37.4,88,75,2.24
Quatre Cocos,MU,-20.21,57.76,80.6,74,75,11.41
Kalat,PK,29.03,66.58,52.7,52,8,3.71
Kodiak,US,39.95,-94.76,69.01,39,1,13.87
Iquique,CL,-20.22,-70.14,75.2,60,0,13.87
Sinnamary,GF,5.38,-52.96,80.33,94,100,10.76
Byron Bay,AU,-28.65,153.62,64.99,93,40,3.6
Buala,SB,-8.15,159.59,80.87,95,0,3.83
Ketchikan,US,55.34,-131.65,46.4,81,90,17.22
Bastrop,US,32.78,-91.91,71.01,94,90,3.36
Petrozavodsk,RU,61.79,34.39,44.6,42,0,2.24
Vizinga,RU,61.08,50.08,29.93,81,0,5.73
Acapulco,MX,16.86,-99.88,82.4,74,40,4.7
Bato,PH,13.36,123.37,74.39,92,56,2.82
Busselton,AU,-33.64,115.35,55.0,53,76,10.42
Jambi,ID,-1.6,103.62,74.66,95,8,2.59
Waghausel,DE,49.26,8.51,64.99,51,0,3.36
Wagar,US,31.44,-87.99,75.99,86,64,1.99
Bereda,ES,43.27,-7.54,51.01,76,40,10.29
Tutoia,BR,-2.76,-42.27,89.6,59,20,8.05
Hami,CN,42.84,93.51,54.59,45,80,5.28
Yumen,CN,40.29,97.04,50.27,36,76,6.17
Ahtopol,BG,42.1,27.94,48.2,81,20,13.87
Yangjiang,CN,21.85,111.96,74.93,98,68,5.95
Cravo Norte,CO,6.3,-70.2,99.23,30,12,13.78
Te Anau,NZ,-45.41,167.72,23.45,72,0,4.16
Ilulissat,GL,69.22,-51.1,37.4,47,75,27.51
Yatou,CM,3.63,9.81,87.8,74,40,5.82
Shambu,ET,9.57,37.1,57.47,83,48,2.48
Chambery,FR,45.57,5.93,57.2,54,90,5.82
Saint-Francois,FR,46.42,3.91,53.6,58,75,16.11
Kunzelsau,DE,49.28,9.69,61.0,58,75,8.05
Fallon,US,46.84,-105.12,48.2,87,90,10.29
Den Helder,NL,52.96,4.76,59.0,93,90,9.17
Payo,ID,-3.75,103.64,72.32,97,92,3.49
South Lake Tahoe,US,38.93,-119.98,53.01,34,75,8.05
Changji,CN,32.07,116.17,63.23,74,0,7.96
Itarema,BR,-2.92,-39.92,80.6,96,76,7.63
Yar-Sale,RU,66.83,70.83,29.84,84,80,24.96
San Jose,PH,15.79,120.99,68.36,97,0,1.92
Millinocket,US,45.66,-68.71,45.0,80,90,7.63
The Valley,AI,18.22,-63.06,82.99,54,20,20.8
Evensk,RU,61.92,159.24,23.45,90,0,4.38
New Norfolk,AU,-42.78,147.06,52.0,76,0,8.05
Iskateley,RU,67.68,53.15,24.08,78,0,17.36
Ventspils,LV,57.39,21.56,57.2,26,0,8.05
Divnomorskoye,RU,44.5,38.13,57.65,50,0,6.29
Talcahuano,CL,-36.72,-73.12,62.6,59,0,11.41
Dharchula,IN,29.85,80.53,37.04,85,88,2.04
Nome,US,30.04,-94.42,77.0,88,90,5.82
Ewa Beach,US,21.32,-158.01,66.99,88,1,4.7
Sidi Ali,DZ,36.1,0.42,52.16,91,92,11.43
Imbituba,BR,-28.24,-48.67,69.8,88,75,8.05
Corquin,HN,14.57,-88.87,77.54,64,44,1.25
Baker City,US,44.77,-117.83,39.99,86,90,9.17
Kirakira,SB,-10.46,161.92,84.65,99,92,4.83
Vao,EE,59.1,26.19,40.28,67,0,4.72
Hervey Bay,AU,-25.3,152.85,66.99,93,0,5.82
Muncar,ID,-8.43,114.34,78.62,100,80,3.83
Dubai,AE,25.27,55.3,93.2,20,0,6.93
Olavarria,AR,-36.89,-60.32,70.0,49,0,3.0
Mariinsk,RU,56.21,87.75,28.67,69,20,6.4
Grootfontein,NA,-19.56,18.1,72.77,57,88,3.71
Mahina,ML,13.76,-10.85,98.42,23,24,7.52
Lata,IN,30.78,78.62,47.39,97,44,2.15
Sao Filipe,CV,14.9,-24.5,72.14,92,0,19.6
Teluknaga,ID,-6.1,106.64,80.6,78,20,3.36
Atbasar,KZ,51.81,68.36,34.34,74,12,3.94
Cape Town,ZA,-33.93,18.42,71.01,68,0,11.41
Alenquer,BR,-1.95,-54.74,86.0,79,40,14.99
Broome,GB,52.47,1.45,48.2,93,75,9.17
Novoagansk,RU,61.94,76.66,24.8,79,88,8.63
Bandarbeyla,SO,9.49,50.81,81.41,100,0,5.5
Nurota,UZ,40.56,65.69,62.6,67,20,13.87
Lagos,NG,6.46,3.39,86.09,71,12,11.43
Goderich,CA,43.74,-81.71,50.0,83,0,6.17
Dobsina,SK,48.82,20.37,50.0,81,40,3.36
Mosetse,BW,-20.64,26.64,77.27,50,44,2.71
Santa Lucia,IT,39.93,9.66,55.4,76,40,25.28
Lyubotyn,UA,49.95,35.97,51.8,23,0,6.71
Agirish,RU,61.92,63.02,27.95,66,32,5.28
Sioux Lookout,CA,50.1,-91.92,35.6,59,75,2.24
Hambantota,LK,6.12,81.12,80.6,94,75,5.82
Hofn,IS,64.25,-15.21,36.59,100,8,20.27
Ponta Delgada,PT,37.73,-25.67,62.6,72,40,23.04
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,74.57,68,0,9.19
Caxito,BR,-22.65,-42.51,89.6,75,20,12.75
Kutum,SD,14.2,24.66,71.15,29,0,3.94
Bredasdorp,ZA,-34.53,20.04,68.0,68,0,13.87
Karsava,LV,56.78,27.69,47.57,40,92,8.08
Morros,BR,-2.87,-44.04,82.4,78,75,5.82
Inhambane,MZ,-23.87,35.38,78.8,78,40,6.93
Hamilton,BM,32.3,-64.78,69.8,77,75,19.46
Andilamena,MG,-17.01,48.57,68.72,85,68,7.74
Ulladulla,AU,-35.36,150.48,66.99,88,90,6.93
Grand-Lahou,CI,5.24,-5.0,86.63,64,32,10.42
Prainha,BR,-1.8,-53.48,88.07,67,32,3.49
Dingle,PH,11.0,122.67,76.28,93,24,8.3
Abu Zabad,SD,12.35,29.25,76.37,23,0,5.84
Muisne,EC,0.61,-80.02,82.4,83,40,9.17
Puerto Narino,CO,-3.77,-70.38,89.6,79,75,3.38
Mataura,NZ,-46.19,168.86,37.0,89,0,2.93
San Quintin,PH,17.54,120.52,70.25,85,8,4.27
Kahului,US,20.89,-156.47,71.01,82,1,6.93
Bonavista,CA,48.65,-53.11,37.0,53,64,15.99
Taga,JP,35.21,136.34,54.0,71,20,6.93
Kazerun,IR,29.62,51.65,62.96,65,24,3.6
Kajaani,FI,64.22,27.73,50.0,31,0,4.7
Napier,NZ,-39.49,176.92,51.01,99,88,12.44
The Pas,CA,53.82,-101.24,33.8,50,20,13.87
Along,IN,28.17,94.8,60.71,76,0,2.26
Saldanha,PT,41.42,-6.55,44.42,75,92,11.21
Kaitangata,NZ,-46.28,169.85,42.01,67,0,5.01
Mathbaria,BD,22.29,89.96,78.62,84,24,3.71
Baraut,IN,29.1,77.26,91.4,29,24,4.7
Biryusinsk,RU,55.96,97.82,28.76,44,12,6.17
Ichinoseki,JP,38.93,141.13,39.47,59,0,6.06
Portadown,GB,54.42,-6.44,53.01,53,0,8.05
Najran,SA,17.54,44.22,77.0,44,75,9.17
Baherden,TM,38.44,57.43,57.38,99,92,6.62
Bestobe,KZ,52.5,73.1,31.91,72,0,9.53
Bismarck,US,46.81,-100.78,39.99,100,90,14.99
Krasnoborsk,RU,61.56,45.93,26.78,86,0,4.27
Caruray,PH,10.31,119.01,80.87,100,0,9.19
Wronki,PL,52.71,16.37,64.4,36,0,14.99
Cockburn Town,TC,21.46,-71.14,79.25,95,88,16.02
Ponta do Sol,BR,-20.63,-46.0,74.57,90,64,7.18
Jamestown,AU,-33.21,138.6,43.7,82,0,2.15
Waipawa,NZ,-39.94,176.59,42.01,93,88,3.6
Reyes,BO,-14.3,-67.34,77.0,61,75,6.93
Sao Jose da Coroa Grande,BR,-8.9,-35.15,85.37,75,64,11.1
Ushuaia,AR,-54.81,-68.31,39.2,69,90,23.04
Peniche,PT,39.36,-9.38,57.2,66,40,12.75
Touba,SN,14.86,-15.88,100.4,18,0,9.17
Lahat,ID,-3.78,103.55,72.32,97,92,3.49
Dicabisagan,PH,17.08,122.42,71.33,100,12,4.38
Sergeyevka,KZ,53.88,67.42,32.09,74,0,7.07
Kapaa,US,22.08,-159.32,66.2,88,1,6.93
Buchanan,LR,5.88,-10.05,86.0,79,75,6.93
Saint-Pierre,FR,48.95,4.24,62.6,58,0,9.17
Mimongo,GA,-1.62,11.6,77.63,82,68,3.15
Karpathos,GR,35.51,27.21,62.6,88,40,20.8
Okahandja,NA,-21.98,16.91,84.0,43,0,10.29
Iqaluit,CA,63.75,-68.52,19.4,79,75,10.42
Omsukchan,RU,62.53,155.8,17.51,75,76,2.71
Corinto,BR,-18.36,-44.46,78.62,90,20,4.38
Gijon,ES,43.54,-5.66,51.01,81,75,14.99
Darnah,LY,32.77,22.64,61.97,96,0,21.83
Solnechnyy,RU,50.72,136.64,26.69,90,76,5.61
Gamba,CN,28.28,88.52,9.14,62,48,2.15
Drumnadrochit,GB,57.34,-4.48,48.2,87,75,18.34
San Juan de los Morros,VE,9.91,-67.35,86.0,58,40,3.04
Longyearbyen,NO,78.22,15.63,21.2,62,75,16.11
Atuona,PF,-9.8,-139.03,82.76,98,32,17.25
Saskylakh,RU,71.97,114.09,17.69,81,64,17.58
Avigliana,IT,45.08,7.4,57.99,66,75,5.82
Lewisporte,CA,49.25,-55.06,37.99,34,90,19.46
Chapais,CA,49.78,-74.86,33.8,80,90,9.17
Atambua,ID,-9.11,124.89,76.73,100,0,1.36
Mitchell,US,43.71,-98.03,60.8,77,1,12.75
Bambous Virieux,MU,-20.34,57.76,80.6,74,75,11.41
Dumas,IN,21.09,72.71,80.6,78,0,4.7
Cherskiy,RU,68.75,161.3,3.83,63,36,2.48
Tiksi,RU,71.64,128.87,11.93,80,24,2.93
Dikson,RU,73.51,80.55,15.89,93,64,7.96
Ixtapa,MX,20.71,-105.21,80.6,61,20,2.93
Punta Arenas,CL,-53.16,-70.91,48.2,89,40,49.44
Lebu,ET,8.96,38.73,61.52,59,0,7.85
Wonogiri,ID,-7.81,110.93,71.69,96,36,2.26
Klaksvik,FO,62.23,-6.59,44.6,65,76,12.75
Manicore,BR,-5.81,-61.3,84.29,77,80,3.04
Wajid,SO,3.81,43.25,89.69,30,68,9.08
Pecos,US,31.42,-103.49,77.0,16,1,17.22
Namibe,AO,-15.19,12.15,78.35,100,0,7.96
Brae,GB,60.4,-1.35,48.2,70,88,19.46
Chuy,UY,-33.69,-53.46,70.7,82,80,9.75
San Carlos,VE,9.66,-68.59,96.17,36,0,6.06
Puri,ID,-7.54,112.45,78.8,100,20,6.93
Svetlaya,RU,46.54,138.33,31.19,91,8,8.97
Gudur,IN,14.15,79.85,89.6,40,20,4.7
Necochea,AR,-38.55,-58.74,74.3,52,0,14.23
Cururupu,BR,-1.82,-44.87,77.72,97,92,6.4
San Rafael,AR,-34.61,-68.33,82.4,17,0,2.59
Huamachuco,PE,-7.82,-78.05,59.72,74,32,2.59
North Platte,US,41.12,-100.77,63.0,55,40,9.17
Mercedes,UY,-33.25,-58.03,69.8,64,80,3.04
Qaanaaq,GL,77.48,-69.36,10.49,84,68,11.43
Kokopo,PG,-4.34,152.27,78.53,100,80,3.04
Belyy Gorodok,RU,56.97,37.51,40.82,74,36,7.96
Springfield,US,37.22,-93.29,66.0,72,1,18.34
Husavik,CA,50.56,-96.99,34.0,79,64,7.0
Tura,IN,25.52,90.21,66.92,96,92,3.04
Sao Felix do Xingu,BR,-6.64,-51.99,83.21,76,48,2.59
Batemans Bay,AU,-35.71,150.18,59.0,88,32,4.38
Port Alfred,ZA,-33.59,26.89,64.99,86,8,1.01
Guaymas,MX,27.92,-110.9,75.99,60,5,11.41
Berlevag,NO,70.86,29.09,32.0,100,80,10.2
Bollnas,SE,61.35,16.39,39.92,94,92,4.38
North Bend,US,43.41,-124.22,52.0,87,90,12.75
Wanaka,NZ,-44.7,169.14,14.72,81,0,1.92
Georgetown,GY,6.8,-58.16,89.6,66,40,18.34
Cidreira,BR,-30.17,-50.22,71.69,90,92,7.85
Ostrovnoy,RU,68.05,39.51,25.7,81,0,11.65
Bowen,AU,-20.01,148.25,72.0,84,76,1.01
Mar del Plata,AR,-46.43,-67.52,71.87,33,0,1.7
Zelenets,RU,53.83,48.02,35.87,96,92,9.64
Macroom,IE,51.91,-8.96,57.2,76,75,16.11
Hermanus,ZA,-34.42,19.24,68.0,71,0,4.0
Katangli,RU,51.71,143.23,29.3,93,92,13.22
Portoferraio,IT,42.81,10.31,60.8,51,20,8.05
San Andres,PH,13.32,122.68,82.67,98,68,6.51
Vitim,RU,59.44,112.57,19.94,76,44,3.15
Nizhniy Kuranakh,RU,58.84,125.49,25.52,71,76,3.94
Haldia,IN,22.03,88.06,80.6,60,92,3.38
Pinos,MX,22.3,-101.57,75.2,16,40,16.11
Carutapera,BR,-1.2,-46.02,79.97,91,92,6.73
Sambava,MG,-14.27,50.17,81.59,100,88,16.02
Vanimo,PG,-2.67,141.3,80.33,100,36,4.16
Kasongo-Lunda,CD,-6.48,16.82,77.18,83,48,0.58
Ola,RU,59.58,151.3,27.32,83,0,15.35
Hokitika,NZ,-42.72,170.96,47.3,100,0,6.4
Airai,TL,-8.93,125.41,67.19,83,0,1.92
Hay River,CA,60.82,-115.79,24.8,58,90,12.75
Inta,RU,66.04,60.13,27.5,73,0,8.41
Ust-Uda,RU,54.17,103.03,18.95,56,0,5.73
Umkomaas,ZA,-30.21,30.8,68.0,84,76,5.99
Aguimes,ES,27.91,-15.45,69.8,46,20,23.04
Puerto Madryn,AR,-42.77,-65.04,73.49,51,0,11.99
Mananjary,MG,-19.16,46.8,61.25,91,56,3.6
Kulhudhuffushi,MV,6.62,73.07,84.65,100,0,4.94
Barrow,AR,-38.31,-60.23,75.74,41,0,15.79
Sursk,RU,53.07,45.69,39.99,83,88,3.6
Tuktoyaktuk,CA,69.44,-133.03,-7.61,76,20,10.29
Kaduy,RU,59.2,37.15,44.6,42,0,6.71
Mahanoro,MG,-19.9,48.8,71.42,100,88,2.93
Carnarvon,ZA,-30.97,22.13,55.49,47,0,2.93
Egvekinot,RU,66.32,-179.17,2.75,80,20,9.75
Mahebourg,MU,-20.41,57.7,80.6,74,75,11.41
Haines Junction,CA,60.75,-137.51,20.93,83,32,2.37
Constitucion,MX,23.99,-104.67,62.01,23,5,4.7
Anamoros,SV,13.74,-87.87,91.4,49,0,3.36
Rocha,UY,-34.48,-54.34,70.25,62,92,4.38
Guerrero Negro,MX,27.97,-114.04,66.29,67,0,15.35
Chum Phae,TH,16.54,102.1,68.99,91,12,0.36
Sukhobezvodnoye,RU,57.05,44.89,34.97,99,92,5.39
Nikolskoye,RU,59.7,30.79,51.8,25,0,11.18
Nyurba,RU,63.29,118.35,18.05,80,0,3.27
Alihe,CN,50.57,123.73,28.22,66,56,4.16
Vila Velha,BR,-3.71,-38.6,84.2,74,75,14.99
Vestmannaeyjar,IS,63.44,-20.27,41.0,85,75,24.16
Rubtsovsk,RU,51.53,81.22,29.57,84,0,3.49
Isangel,VU,-19.55,169.27,77.0,100,0,16.46
Avera,US,33.19,-82.53,69.01,82,90,8.05
Paamiut,GL,61.99,-49.67,34.7,89,32,32.46
Thompson,CA,55.74,-97.86,21.2,31,20,4.7
Alofi,NU,-19.06,-169.92,77.0,94,92,4.7
Santa Luzia,BR,-19.77,-43.85,84.2,65,40,4.7
Inongo,CD,-1.93,18.29,82.13,79,32,2.04
Buhe,CN,30.29,112.23,66.0,77,0,9.53
Tual,ID,-5.67,132.75,84.02,98,48,4.83
Namanga,KE,-2.55,36.79,71.42,59,0,11.88
Xingtai,CN,37.07,114.49,42.8,55,32,5.5
Zhezkazgan,KZ,47.8,67.71,40.19,72,0,10.09
Yellowknife,CA,62.45,-114.38,12.99,60,75,11.41
Greenwood,US,32.03,-101.9,77.0,29,8,5.82
Eirunepe,BR,-6.66,-69.87,90.77,62,36,2.93
Jhunjhunun,IN,28.13,75.4,72.14,63,24,6.96
Khorramshahr,IR,30.43,48.18,82.4,50,90,4.7
Tuscaloosa,US,33.21,-87.57,75.99,69,75,3.49
Hasaki,JP,35.73,140.83,52.0,87,20,4.7
Clyde River,CA,70.47,-68.59,3.2,91,80,39.15
Phangnga,TH,8.45,98.53,78.8,88,20,2.24
Pyay,MM,18.82,95.22,81.23,56,64,5.84
Tommot,RU,58.97,126.27,25.07,69,80,3.6
Richards Bay,ZA,-28.77,32.06,66.83,93,80,11.65
Zeya,RU,53.74,127.27,25.16,66,36,3.71
Jawhar,IN,19.91,73.23,66.92,91,0,2.26
Codrington,AU,-28.95,153.24,64.99,88,20,2.37
Porto Novo,BR,-23.68,-45.44,87.8,55,40,4.7
Ulkan,RU,57.24,107.32,10.31,70,0,2.93
Gazojak,TM,41.19,61.4,53.6,60,56,15.79
Bonthe,SL,7.53,-12.5,85.91,72,88,5.84
Kariba,ZW,-16.53,28.78,83.3,51,20,8.08
Tahoua,NE,14.89,5.26,107.6,21,0,9.17
Langsa,ID,4.47,97.97,70.34,89,20,2.04
Aklavik,CA,68.22,-135.01,6.8,77,5,2.24
Saint-Augustin,FR,44.83,-0.61,55.4,71,0,1.12
Coquimbo,CL,-29.95,-71.34,64.4,77,20,16.11
Adrar,DZ,27.87,-0.29,78.8,26,0,10.29
Milkovo,BG,41.53,24.68,60.8,48,90,12.75
Honningsvag,NO,70.98,25.97,31.82,98,80,9.19
Creston,US,41.06,-94.36,66.99,67,1,12.75
Baie-Comeau,CA,49.22,-68.15,37.0,80,1,13.87
Fairbanks,US,64.84,-147.72,30.2,53,20,5.82
Walvis Bay,NA,-22.95,14.51,61.0,77,0,8.05
Mayor Pablo Lagerenza,PY,-19.93,-60.77,75.2,60,20,13.33
Praya,ID,-8.71,116.27,77.0,100,40,4.05
Westport,IE,53.8,-9.52,55.99,54,40,10.29
Luanda,AO,-8.83,13.24,84.2,83,75,11.41
Gilleleje,DK,56.12,12.31,61.0,44,0,11.41
Naze,NG,5.43,7.07,82.04,75,36,7.74
Severo-Kurilsk,RU,50.68,156.12,32.18,96,92,29.1
Santa Fe,AR,-31.62,-60.7,75.99,40,0,1.99
Eskil,TR,38.4,33.41,52.25,64,80,11.32
Shamary,RU,57.34,58.22,27.05,83,8,3.27
Nizwa,OM,22.93,57.53,71.42,23,24,4.05
Souris,CA,46.36,-62.25,37.4,86,90,19.46
Saint Anthony,US,43.97,-111.68,48.0,61,1,19.46
Faya,SA,18.39,42.45,69.8,68,40,11.41
Wonthaggi,AU,-38.6,145.59,52.0,90,0,1.01
Itoman,JP,26.12,127.67,71.6,78,40,6.93
Santa Maria,BR,-29.69,-53.81,68.27,88,92,7.74
San Patricio,PY,-26.98,-56.83,71.6,79,76,4.72
Ancud,CL,-41.87,-73.83,53.6,93,90,18.34
Lorengau,PG,-2.02,147.27,83.57,95,80,7.96
Norman Wells,CA,65.28,-126.83,15.8,66,75,11.41
Solano,PH,16.52,121.18,68.0,92,64,1.14
Nanortalik,GL,60.14,-45.24,33.62,93,44,21.94
West Wendover,US,40.74,-114.07,51.8,53,1,3.36
Alta Floresta,BR,-9.87,-56.08,81.41,82,56,2.93
Kintinku,TZ,-5.89,35.22,82.22,40,20,14.12
Saint-Philippe,CA,45.36,-73.48,44.01,80,90,10.29
Elmina,GH,5.09,-1.35,83.75,95,0,15.68
Port Elizabeth,US,39.31,-74.98,60.01,67,1,9.17
Puerto Ayora,EC,-0.74,-90.35,84.2,70,40,9.17
Tasiilaq,GL,65.61,-37.64,32.0,91,90,29.97
Takoradi,GH,4.89,-1.75,84.38,92,0,10.65
Anuradhapura,LK,8.34,80.41,73.67,91,8,3.49
Alyangula,AU,-13.85,136.42,80.6,78,92,13.87
Oktyabrskiy,RU,55.61,37.97,42.01,64,56,6.71
Kavieng,PG,-2.57,150.8,82.4,100,80,7.74
Jalu,LY,29.03,21.55,72.41,61,0,8.19
Cabo San Lucas,MX,22.89,-109.91,82.0,64,5,8.05
Boralday,KZ,43.36,76.86,46.4,100,90,6.71
Provideniya,RU,64.42,-173.23,11.75,100,56,7.74
Srandakan,ID,-7.94,110.25,74.39,100,92,2.93
Belmonte,PT,40.36,-7.35,48.0,84,88,5.01
Aswan,EG,24.09,32.9,89.6,11,0,2.24
Havre-Saint-Pierre,CA,50.23,-63.6,32.0,97,90,12.75
Los Llanos de Aridane,ES,28.66,-17.92,66.2,59,75,16.11
Butaritari,KI,3.07,172.79,79.25,100,92,6.51
Altay,CN,47.83,88.13,27.5,81,44,4.72
Ribeira Grande,PT,38.52,-28.7,62.6,82,40,23.04
Tessalit,ML,20.2,1.01,83.66,14,0,11.21
Phalodi,IN,27.13,72.36,82.31,28,0,8.08
Mayumba,GA,-3.44,10.65,81.68,93,76,10.65
Solwezi,ZM,-12.18,26.4,70.88,81,80,6.62
Coahuayana,MX,18.62,-100.35,84.29,25,36,3.04
Tungor,RU,53.39,142.95,23.27,86,44,9.31
Zhuhai,CN,40.71,112.04,33.8,64,0,2.82
Alice Springs,AU,-23.7,133.88,66.2,42,0,4.7
Bagdarin,RU,54.44,113.59,11.57,60,0,3.49
Tanout,NE,14.97,8.88,94.19,12,0,4.61
Palmer,US,61.6,-149.11,37.4,51,90,3.36
Malanje,AO,-9.54,16.35,66.65,98,36,3.94
Cambrils,ES,41.07,1.07,57.99,54,0,8.05
Makakilo City,US,21.35,-158.09,66.99,88,1,4.7
Petropavlovka,RU,50.61,105.32,14.54,60,0,2.93
Bago,MM,17.34,96.48,82.4,74,0,5.82
Vilyuysk,RU,63.75,121.63,19.04,77,0,3.94
Labuhan,ID,-2.54,115.51,71.87,97,88,1.36
Waitati,NZ,-45.75,170.57,48.99,65,0,5.99
Eureka,US,40.8,-124.16,57.99,62,90,14.99
Pangnirtung,CA,66.15,-65.72,21.2,62,90,9.17
Kalmunai,LK,7.42,81.82,74.48,100,12,3.15
Praia,BR,-20.25,-43.81,84.2,62,40,5.82
Campos,PT,41.54,-8.28,55.99,62,20,10.29
Pimentel,BR,-3.7,-45.5,73.4,99,92,1.81
Bilma,NE,18.69,12.92,90.32,12,0,5.06
Coari,BR,-4.09,-63.14,89.87,64,12,5.39
Veraval,FR,49.65,0.71,59.0,54,0,12.75
Salamiyah,SY,35.01,37.05,52.88,85,92,3.6
Vrede,ZA,-27.43,29.16,51.98,97,36,2.59
Maraba,BR,-5.35,-49.1,89.6,62,40,4.7
Miraflores,CO,5.2,-73.14,58.82,93,88,2.48
Narsaq,GL,60.91,-46.05,44.6,26,75,12.75
Coromandel,NZ,-36.76,175.5,55.99,93,0,3.36
Hirara,JP,24.8,125.28,74.39,100,0,9.08
Batagay-Alyta,RU,67.8,130.41,15.62,73,80,2.37
Umm Lajj,SA,25.02,37.27,69.71,85,68,4.38
Wanning,AT,48.64,13.53,60.8,41,20,13.87
Poum,MK,41.28,20.71,53.6,62,40,3.36
Tucdao,PH,11.7,124.47,79.88,99,68,11.77
Nouadhibou,MR,20.93,-17.03,75.2,47,20,19.46
Puerto del Rosario,ES,28.5,-13.86,69.8,52,40,18.34
Gushikawa,JP,26.35,127.87,71.6,78,40,6.93
Sobolevo,RU,54.43,31.9,41.27,58,32,8.19
Panama City,US,30.16,-85.65,79.0,88,75,10.29
Kushiro,JP,43.11,144.15,26.6,86,48,4.94
Port-Gentil,GA,-0.72,8.78,87.8,66,20,12.75
Cayenne,GF,4.94,-52.33,84.2,70,75,18.34
Pacific Grove,US,36.62,-121.92,60.01,71,75,3.36
Pachino,IT,36.72,15.09,59.0,82,75,10.29
Dharmadam,IN,11.78,75.43,77.0,85,0,2.59
Souillac,FR,45.6,-0.6,52.0,87,80,9.17
Fortuna,ES,38.18,-1.13,60.8,58,40,9.17
